Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Speed Limit,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,city,lat,lng,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Road User,Gender,Age,Age Group
20233054,QLD,9,2023,Saturday,23:00,Single,1,80,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekend,Night,Driver,Male,25,17_to_25
20233098,QLD,9,2023,Friday,13:00,Single,1,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekday,Day,Pedestrian,Male,62,40_to_64
20233067,QLD,9,2023,Tuesday,11:00,Multiple,1,70,Inner Regional Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekday,Day,Motorcycle rider,Male,71,65_to_74
20233131,QLD,8,2023,Saturday,2:00,Multiple,1,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekend,Night,Passenger,Male,17,17_to_25
20233171,QLD,8,2023,Wednesday,10:00,Multiple,1,70,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekday,Day,Driver,Female,80,75_or_older
20233164,QLD,8,2023,Wednesday,16:00,Single,1,50,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekday,Day,Pedestrian,Female,86,75_or_older
20233027,QLD,7,2023,Sunday,11:00,Single,1,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekend,Day,Driver,Male,73,65_to_74
20233107,QLD,7,2023,Monday,10:00,Single,1,80,Inner Regional Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekday,Day,Motorcycle rider,Male,40,40_to_64
20233113,QLD,6,2023,Thursday,22:00,Single,1,60,Inner Regional Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekday,Night,Driver,Male,25,17_to_25
20233126,QLD,5,2023,Thursday,12:00,Multiple,1,110,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,National Or State Highway,No,No,Weekday,Day,Motorcycle rider,Male,51,40_to_64
20233109,QLD,4,2023,Thursday,8:00,Single,1,50,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekday,Day,Driver,Male,69,65_to_74
20233162,QLD,3,2023,Monday,4:00,Multiple,1,40,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,No,No,Weekend,Night,Motorcycle rider,Male,33,26_to_39
20233062,QLD,3,2023,Wednesday,13:00,Single,1,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Collector Road,No,No,Weekday,Day,Driver,Male,39,26_to_39
20233093,QLD,1,2023,Friday,11:00,Multiple,1,110,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,National Or State Highway,No,No,Weekday,Day,Motorcycle rider,Male,31,26_to_39
20233120,QLD,1,2023,Sunday,16:00,Single,1,70,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Sub-Arterial Road,No,No,Weekend,Day,Motorcycle rider,Male,48,40_to_64
20223121,QLD,12,2022,Friday,17:00,Multiple,3,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,Yes,No,Weekday,Day,Driver,Female,70,65_to_74
20223121,QLD,12,2022,Friday,17:00,Multiple,3,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,Yes,No,Weekday,Day,Passenger,Female,35,26_to_39
20223121,QLD,12,2022,Friday,17:00,Multiple,3,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Local Road,Yes,No,Weekday,Day,Passenger,Male,79,75_or_older
20223237,QLD,12,2022,Wednesday,17:00,Multiple,1,60,Major Cities of Australia,Gold Coast,Gold Coast,Gold Coast,-28.0167,153.4,Collector Road,No,No,Weekday,Day,Motorcycle rider,Male,45,40_to_64
