Date,Year,Month Number,Month,Month & Year,Mon & Year
1-Jan-89,1989,1,January,Jan-89,Jan-89
2-Jan-89,1989,1,January,Jan-89,Jan-89
3-Jan-89,1989,1,January,Jan-89,Jan-89
4-Jan-89,1989,1,January,Jan-89,Jan-89
5-Jan-89,1989,1,January,Jan-89,Jan-89
6-Jan-89,1989,1,January,Jan-89,Jan-89
7-Jan-89,1989,1,January,Jan-89,Jan-89
8-Jan-89,1989,1,January,Jan-89,Jan-89
9-Jan-89,1989,1,January,Jan-89,Jan-89
10-Jan-89,1989,1,January,Jan-89,Jan-89
11-Jan-89,1989,1,January,Jan-89,Jan-89
12-Jan-89,1989,1,January,Jan-89,Jan-89
13-Jan-89,1989,1,January,Jan-89,Jan-89
14-Jan-89,1989,1,January,Jan-89,Jan-89
15-Jan-89,1989,1,January,Jan-89,Jan-89
16-Jan-89,1989,1,January,Jan-89,Jan-89
17-Jan-89,1989,1,January,Jan-89,Jan-89
18-Jan-89,1989,1,January,Jan-89,Jan-89
19-Jan-89,1989,1,January,Jan-89,Jan-89
20-Jan-89,1989,1,January,Jan-89,Jan-89
21-Jan-89,1989,1,January,Jan-89,Jan-89
22-Jan-89,1989,1,January,Jan-89,Jan-89
23-Jan-89,1989,1,January,Jan-89,Jan-89
24-Jan-89,1989,1,January,Jan-89,Jan-89
25-Jan-89,1989,1,January,Jan-89,Jan-89
26-Jan-89,1989,1,January,Jan-89,Jan-89
27-Jan-89,1989,1,January,Jan-89,Jan-89
28-Jan-89,1989,1,January,Jan-89,Jan-89
29-Jan-89,1989,1,January,Jan-89,Jan-89
30-Jan-89,1989,1,January,Jan-89,Jan-89
31-Jan-89,1989,1,January,Jan-89,Jan-89
1-Feb-89,1989,2,February,Feb-89,Feb-89
2-Feb-89,1989,2,February,Feb-89,Feb-89
3-Feb-89,1989,2,February,Feb-89,Feb-89
4-Feb-89,1989,2,February,Feb-89,Feb-89
5-Feb-89,1989,2,February,Feb-89,Feb-89
6-Feb-89,1989,2,February,Feb-89,Feb-89
7-Feb-89,1989,2,February,Feb-89,Feb-89
8-Feb-89,1989,2,February,Feb-89,Feb-89
9-Feb-89,1989,2,February,Feb-89,Feb-89
10-Feb-89,1989,2,February,Feb-89,Feb-89
11-Feb-89,1989,2,February,Feb-89,Feb-89
12-Feb-89,1989,2,February,Feb-89,Feb-89
13-Feb-89,1989,2,February,Feb-89,Feb-89
14-Feb-89,1989,2,February,Feb-89,Feb-89
15-Feb-89,1989,2,February,Feb-89,Feb-89
16-Feb-89,1989,2,February,Feb-89,Feb-89
17-Feb-89,1989,2,February,Feb-89,Feb-89
18-Feb-89,1989,2,February,Feb-89,Feb-89
19-Feb-89,1989,2,February,Feb-89,Feb-89
20-Feb-89,1989,2,February,Feb-89,Feb-89
21-Feb-89,1989,2,February,Feb-89,Feb-89
22-Feb-89,1989,2,February,Feb-89,Feb-89
23-Feb-89,1989,2,February,Feb-89,Feb-89
24-Feb-89,1989,2,February,Feb-89,Feb-89
25-Feb-89,1989,2,February,Feb-89,Feb-89
26-Feb-89,1989,2,February,Feb-89,Feb-89
27-Feb-89,1989,2,February,Feb-89,Feb-89
28-Feb-89,1989,2,February,Feb-89,Feb-89
1-Mar-89,1989,3,March,Mar-89,Mar-89
2-Mar-89,1989,3,March,Mar-89,Mar-89
3-Mar-89,1989,3,March,Mar-89,Mar-89
4-Mar-89,1989,3,March,Mar-89,Mar-89
5-Mar-89,1989,3,March,Mar-89,Mar-89
6-Mar-89,1989,3,March,Mar-89,Mar-89
7-Mar-89,1989,3,March,Mar-89,Mar-89
8-Mar-89,1989,3,March,Mar-89,Mar-89
