Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number of Fatalities,National LGA NAme 2021,Time of Day
20231104,NSW,Sep,2023,Friday,1900-01-01 21:20:00,Multiple,50,Passenger,Male,15,Major Cities of Australia,Sydney - South West,Liverpool,Local Road,No,No,0_to_16,Weekend,Night,-9,,
20233094,Qld,Sep,2023,Sunday,1900-01-01 18:00:00,Multiple,80,Passenger,Male,25,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,No,No,17_to_25,Weekend,Night,-9,,
20232012,Vic,Sep,2023,Sunday,1900-01-01 01:22:00,Multiple,-9,Motorcycle rider,Male,18,,,,,No,No,17_to_25,Weekend,Night,-9,,
20231104,NSW,Sep,2023,Friday,1900-01-01 21:20:00,Multiple,50,Driver,Female,24,Major Cities of Australia,Sydney - South West,Liverpool,Local Road,No,No,17_to_25,Weekend,Night,-9,,
20233075,Qld,Sep,2023,Saturday,1900-01-01 20:00:00,Single,100,Driver,Male,19,Inner Regional Australia,Wide Bay,Gympie,Sub-arterial Road,No,No,17_to_25,Weekend,Night,-9,,
20231022,NSW,Sep,2023,Sunday,1900-01-01 19:30:00,Single,60,Motorcycle rider,Male,17,Major Cities of Australia,Sydney - Inner South West,Bayside,Arterial Road,No,No,17_to_25,Weekend,Night,-9,,
20231205,NSW,Sep,2023,Saturday,1900-01-01 00:01:00,Single,100,Driver,Male,20,Outer Regional Australia,Murray,Murray River,Arterial Road,No,No,17_to_25,Weekend,Night,-9,,
20233054,Qld,Sep,2023,Saturday,1900-01-01 23:00:00,Single,80,Driver,Male,25,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Night,-9,,
20231060,NSW,Sep,2023,Sunday,1900-01-01 05:30:00,Single,100,Passenger,Male,39,Outer Regional Australia,New England and North West,Inverell,Arterial Road,No,No,26_to_39,Weekend,Night,-9,,
20237001,NT,Sep,2023,Monday,,,-9,Other/-9,Unspecified,-9,,,,,No,No,-9,Weekend,Night,-9,,
20237013,NT,Sep,2023,Friday,,Multiple,-9,Passenger,Unspecified,-9,,,,,No,No,-9,Weekend,Night,-9,,
20235021,WA,Sep,2023,Saturday,1900-01-01 03:31:00,Single,70,Driver,Female,27,,,,,No,No,26_to_39,Weekend,Night,-9,,
20231145,NSW,Sep,2023,Tuesday,1900-01-01 19:40:00,Multiple,60,Driver,Male,18,Inner Regional Australia,Murray,Federation,Arterial Road,No,No,17_to_25,Weekday,Night,-9,,
20231145,NSW,Sep,2023,Tuesday,1900-01-01 19:40:00,Multiple,60,Passenger,Female,19,Inner Regional Australia,Murray,Federation,Arterial Road,No,No,17_to_25,Weekday,Night,-9,,
20235018,WA,Sep,2023,Sunday,1900-01-01 21:22:00,Single,-9,Motorcycle pillion passenger,Female,35,,,,,No,No,26_to_39,Weekend,Night,-9,,
20235018,WA,Sep,2023,Sunday,1900-01-01 21:22:00,Single,-9,Motorcycle rider,Male,39,,,,,No,No,26_to_39,Weekend,Night,-9,,
20231047,NSW,Sep,2023,Friday,1900-01-01 20:15:00,Single,70,Passenger,Male,33,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Local Road,No,No,26_to_39,Weekend,Night,-9,,
20231047,NSW,Sep,2023,Friday,1900-01-01 20:15:00,Single,70,Driver,Male,32,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Local Road,No,No,26_to_39,Weekend,Night,-9,,
20231161,NSW,Sep,2023,Friday,1900-01-01 22:57:00,Single,50,Driver,Male,36,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Local Road,No,No,26_to_39,Weekend,Night,-9,,
20233071,Qld,Sep,2023,Saturday,1900-01-01 05:00:00,Single,50,Driver,Male,49,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road,No,No,40_to_64,Weekend,Night,-9,,
20233182,Qld,Sep,2023,Saturday,1900-01-01 13:00:00,Multiple,60,Passenger,Female,34,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road,No,No,26_to_39,Weekend,Day,-9,,
20231088,NSW,Sep,2023,Saturday,1900-01-01 16:08:00,Single,100,Passenger,Male,55,Outer Regional Australia,New England and North West,Inverell,Sub-arterial Road,No,No,40_to_64,Weekend,Day,-9,,
20231232,NSW,Sep,2023,Saturday,1900-01-01 00:50:00,Single,100,Driver,Male,57,Outer Regional Australia,Mid North Coast,Nambucca Valley,Arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20232092,Vic,Sep,2023,Saturday,1900-01-01 20:30:00,Single,-9,Driver,Male,44,,,,,No,No,40_to_64,Weekend,Night,-9,,
20233187,Qld,Sep,2023,Sunday,1900-01-01 04:00:00,Multiple,80,Driver,Male,45,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,Sub-arterial Road,No,No,40_to_64,Weekend,Night,-9,,
20232135,Vic,Sep,2023,Sunday,1900-01-01 18:40:00,Multiple,-9,Motorcycle rider,Female,18,,,,,No,No,17_to_25,Weekend,Night,-9,,
20232135,Vic,Sep,2023,Sunday,1900-01-01 18:40:00,Multiple,-9,Motorcycle rider,Male,17,,,,,No,No,17_to_25,Weekend,Night,-9,,
20232168,Vic,Sep,2023,Friday,1900-01-01 07:59:00,Multiple,-9,Driver,Male,49,,,,,No,No,40_to_64,Weekday,Day,-9,,
20237008,NT,Sep,2023,Saturday,,,-9,Other/-9,Unspecified,-9,,,,,No,No,-9,Weekend,Night,-9,,
20237008,NT,Sep,2023,Saturday,,,-9,Other/-9,Unspecified,-9,,,,,No,No,-9,Weekend,Night,-9,,
20237013,NT,Sep,2023,Friday,,Multiple,-9,Passenger,Unspecified,-9,,,,,No,No,-9,Weekend,Night,-9,,
